Partners,Runs,Wkt,Team,Opposition,Ground
"Mohammad Rizwan, Babar Azam",82,3rd,Pakistan,v India,Ahmedabad
"DJ Malan, JM Bairstow",82,1st,England,v Pakistan,Eden Gardens
"KS Williamson, DP Conway",80,2nd,New Zealand,v Bangladesh,Chennai
"WA Young, R Ravindra",79,2nd,New Zealand,v Afghanistan,Chennai
"Mahmudullah, Litton Das",79,4th,Bangladesh,v Pakistan,Eden Gardens
"AK Markram, H Klaasen",78,4th,South Africa,v Sri Lanka,Delhi
"V Kohli, RA Jadeja",78,6th,India,v New Zealand,Dharamsala
"SA Engelbrecht, SA Edwards",78,6th,Netherlands,v Bangladesh,Eden Gardens
"HE van der Dussen, DA Miller",78,3rd,South Africa,v New Zealand,Pune
"DM de Silva, KIC Asalanka",78,6th,Sri Lanka,v Bangladesh,Delhi
"WA Young, R Ravindra",77,2nd,New Zealand,v Netherlands,Hyderabad
"RG Sharma, SS Iyer",77,3rd,India,v Pakistan,Ahmedabad
"M Labuschagne, JP Inglis",77,4th,Australia,v Sri Lanka,Lucknow
"S Samarawickrama, KIC Asalanka",77,4th,Sri Lanka,v Netherlands,Lucknow
"S Samarawickrama, DM de Silva",76,5th,Sri Lanka,v Netherlands,Lucknow
"Tanzid Hasan, Litton Das",76,1st,Bangladesh,v Australia,Pune
"SPD Smith, M Labuschagne",75,3rd,Australia,v England,Ahmedabad
"GD Phillips, DJ Mitchell",75,5th,New Zealand,v India,Wankhede
"Rahmat Shah, Hashmatullah Shahidi",74,3rd,Afghanistan,v Netherlands,Lucknow
"Shadab Khan, Iftikhar Ahmed",73,6th,Pakistan,v Afghanistan,Chennai
"Rahmat Shah, Ibrahim Zadran",73,2nd,Afghanistan,v Sri Lanka,Pune
"Mushfiqur Rahim, Litton Das",72,5th,Bangladesh,v England,Dharamsala
"Shubman Gill, RG Sharma",71,1st,India,v New Zealand,Dharamsala
"V Kohli, SS Iyer",71,3rd,India,v Netherlands,Bengaluru
"Shubman Gill, RG Sharma",71,1st,India,v New Zealand,Wankhede
"JE Root, JC Buttler",70,5th,England,v New Zealand,Ahmedabad
"Vikramjit Singh, BFW de Leede",70,3rd,Netherlands,v Pakistan,Hyderabad
"MA Wood, AAP Atkinson",70,9th,England,v South Africa,Wankhede
"DA Miller, AK Markram",70,5th,South Africa,v Pakistan,Chennai
"MP O'Dowd, CN Ackermann",70,2nd,Netherlands,v Afghanistan,Lucknow
"DA Warner, SPD Smith",69,2nd,Australia,v India,Chennai
"MA Starc, M Labuschagne",69,7th,Australia,v South Africa,Lucknow
"AK Markram, H Klaasen",69,4th,South Africa,v England,Wankhede
"V Kohli, SS Iyer",68*,3rd,India,v Afghanistan,Delhi
"Mustafizur Rahman, Mahmudullah",68,9th,Bangladesh,v South Africa,Wankhede
