Team,Score,Overs,Run Rate,Innings.1,Opposition.1,Venue
Bangladesh,282/7,41.1,6.85,2,Sri Lanka,Delhi
England,282/9,50,5.64,1,New Zealand,Ahmedabad
Pakistan,282/7,50,5.64,1,Afghanistan,Chennai
Sri Lanka,279,49.3,5.63,1,Bangladesh,Delhi
India,274/6,48,5.7,2,New Zealand,Dharamsala
India,273/2,35,7.8,2,Afghanistan,Delhi
New Zealand,273,50,5.46,1,India,Dharamsala
Afghanistan,272/8,50,5.44,1,India,Delhi
South Africa,271/9,47.2,5.72,2,Pakistan,Chennai
Pakistan,270,46.4,5.78,1,South Africa,Chennai
Sri Lanka,263/5,48.2,5.44,2,Netherlands,Lucknow
Netherlands,262,49.4,5.27,1,Sri Lanka,Lucknow
India,261/3,41.3,6.28,2,Bangladesh,Pune
Bangladesh,256/8,50,5.12,1,India,Pune
England,253,48.1,5.25,2,Australia,Ahmedabad
Netherlands,250,47.5,5.22,2,India,Bengaluru
New Zealand,248/2,42.5,5.78,2,Bangladesh,Chennai
South Africa,247/5,47.3,5.2,2,Afghanistan,Ahmedabad
Netherlands,245/8,43,5.69,1,South Africa,Dharamsala
Bangladesh,245/9,50,4.9,1,New Zealand,Chennai
Pakistan,244,43.3,5.6,2,England,Eden Gardens
Afghanistan,244,50,4.88,1,South Africa,Ahmedabad
Afghanistan,242/3,45.2,5.33,2,Sri Lanka,Pune
Australia,241/4,43,5.6,2,India,Ahmedabad
Sri Lanka,241,49.3,4.86,1,Afghanistan,Pune
India,240,50,4.8,1,Australia,Ahmedabad
Bangladesh,233,46.4,4.99,2,South Africa,Wankhede
Netherlands,229,50,4.58,1,Bangladesh,Eden Gardens
India,229/9,50,4.58,1,England,Lucknow
Bangladesh,227,48.2,4.69,2,England,Dharamsala
Netherlands,223,46.3,4.79,2,New Zealand,Hyderabad
Australia,215/5,35.2,6.08,2,Sri Lanka,Lucknow
England,215,40.3,5.3,2,Afghanistan,Delhi
Australia,215/7,47.2,4.54,2,South Africa,Eden Gardens
South Africa,212,49.4,4.26,1,Australia,Eden Gardens
Sri Lanka,209,43.3,4.8,1,Australia,Lucknow
South Africa,207,42.5,4.83,2,Netherlands,Dharamsala
Pakistan,205/3,32.3,6.3,2,Bangladesh,Eden Gardens
Netherlands,205,41,5,2,Pakistan,Hyderabad
Bangladesh,204,45.1,4.51,1,Pakistan,Eden Gardens
India,201/4,41.2,4.86,2,Australia,Chennai
Pakistan,200/1,25.3,7.84,2,New Zealand,Bengaluru
Australia,199,49.3,4.02,1,India,Chennai
India,192/3,30.3,6.29,2,Pakistan,Ahmedabad
Pakistan,191,42.5,4.45,1,India,Ahmedabad
Afghanistan,181/3,31.3,5.74,2,Netherlands,Lucknow
Netherlands,179,37.2,4.79,2,England,Pune
Netherlands,179,46.3,3.84,1,Afghanistan,Lucknow
Australia,177,40.5,4.33,2,South Africa,Lucknow
New Zealand,172/5,23.2,7.37,2,Sri Lanka,Bengaluru
Sri Lanka,171,46.4,3.66,1,New Zealand,Bengaluru
England,170,22,7.72,2,South Africa,Wankhede
New Zealand,167,35.3,4.7,2,South Africa,Pune
Sri Lanka,160/2,25.4,6.23,2,England,Bengaluru
Bangladesh,158/4,34.4,4.55,2,Afghanistan,Dharamsala
England,156,33.2,4.68,1,Sri Lanka,Bengaluru
Afghanistan,156,37.2,4.17,1,Bangladesh,Dharamsala
Bangladesh,142,42.2,3.35,2,Netherlands,Eden Gardens
Afghanistan,139,34.4,4,2,New Zealand,Chennai
England,129,34.5,3.7,2,India,Lucknow
Netherlands,90,21,4.28,2,Australia,Delhi
South Africa,83,27.1,3.05,2,India,Eden Gardens
Sri Lanka,55,19.4,2.79,2,India,Wankhede
