Bowlers,Country,Match_Played,Innings,Balls,Overs,maiden,Runs,Wkts,BBI,Average,Economy,Strike Rate,4'w,5'w
CBRLS Kumara ,SL,2,2,66,11,-,82,3,3/35,27.33,7.45,22,0,0
Hasan Mahmud ,BAN,2,2,84,14,-,132,3,2/67,44,9.42,28,0,0
LS Livingstone ,ENG,6,6,174,29,1,158,3,1/13,52.66,5.44,58,0,0
LB Williams ,SA,1,1,52,8.4,1,56,2,2/56,28,6.46,26,0,0
SA Abbott ,AUS,1,1,60,10,-,61,2,2/61,30.5,6.1,30,0,0
MR Marsh ,AUS,10,5,78,13,-,96,2,2/19,48,7.38,39,0,0
TM Head ,AUS,6,5,126,21,-,101,2,2/21,50.5,4.8,63,0,0
SN Thakur ,IND,3,3,102,17,-,102,2,1/31,51,6,51,0,0
SM Curran ,ENG,3,3,104,17.2,2,140,2,1/47,70,8.07,52,0,0
JDS Neesham ,NZ,3,3,87,14.3,-,157,2,1/32,78.5,10.82,43.5,0,0
M Pathirana ,SL,2,2,114,19,-,185,2,1/90,92.5,9.73,57,0,0
PVD Chameera ,SL,4,4,188,31.2,3,196,2,1/20,98,6.25,94,0,0
DN Wellalage ,SL,3,3,176,29.2,-,196,2,1/53,98,6.68,88,0,0
Mohammad Nawaz ,PAK,5,5,227,37.5,-,223,2,1/31,111.5,5.89,113.5,0,0
Shadab Khan ,PAK,6,5,228,38,-,237,2,1/45,118.5,6.23,114,0,0
RG Sharma ,IND,11,1,5,0.5,-,7,1,1/7,7,8.4,5,0,0
V Kohli ,IND,11,2,21,3.3,-,15,1,1/13,15,4.28,21,0,0
R Ashwin ,IND,1,1,60,10,1,34,1,1/34,34,3.4,60,0,0
AL Phehlukwayo ,SA,1,1,42,7,-,36,1,1/36,36,5.14,42,0,0
Saqib Zulfiqar ,NED,2,2,30,5,-,40,1,1/25,40,8,30,0,0
JE Root ,ENG,9,2,61,10.1,-,67,1,1/19,67,6.59,61,0,0
AK Markram ,SA,10,4,111,18.3,1,85,1,1/23,85,4.59,111,0,0
